"id","title","module","sprint","priority","status","estimate_points","owner","depends_on","definition_of_done"
"T-001","Init Django project + DRF config","backend-core","S1","P0","done","3","Codex","","App boot + health endpoint + settings split"
"T-002","Postgres connection + migrations pipeline","backend-core","S1","P0","done","3","Codex","T-001","Migration CI check passes"
"T-003","JWT auth endpoints","backend-auth","S1","P0","done","5","Codex","T-001","Login/refresh/logout tested"
"T-004","Users profile endpoint","backend-auth","S1","P1","done","2","Codex","T-003","GET/PATCH profile works"
"T-005","Accounts + Categories schema","backend-ledger","S1","P0","done","3","Codex","T-002","CRUD with validation works"
"T-006","Frontend API client + error model","frontend-core","S1","P0","done","3","Codex","","Typed client + shared error handling"
"T-007","Query/state layer setup","frontend-core","S1","P1","done","2","Codex","T-006","Global query cache working"
"T-008","LedgerEntry schema + CRUD API","backend-ledger","S2","P0","done","5","Codex","T-005","Create/list/filter entries works"
"T-009","Projects schema + CRUD API","backend-planning","S2","P0","done","4","Codex","T-002","Create/list/update project works"
"T-010","ToBuy schema + CRUD API","backend-planning","S2","P0","done","4","Codex","T-009","CRUD + status transitions validated"
"T-011","Todo schema + CRUD API","backend-planning","S2","P1","done","3","Codex","T-009","Todo CRUD and filters work"
"T-012","Frontend routes + module shells","frontend-core","S2","P1","done","2","Codex","T-007","All routes render without crash"
"T-013","Ledger list page (filters + pagination)","frontend-ledger","S3","P0","done","5","Codex","T-008","Filter/date/search working"
"T-014","Ledger add/edit form + validation","frontend-ledger","S3","P0","done","4","Codex","T-013","Validations and submit success"
"T-015","Ledger import CSV UI + backend parser","fullstack-ledger","S3","P1","done","4","Codex","T-013","CSV import report generated"
"T-016","Budget + BudgetPeriod schema/API","backend-budget","S4","P0","done","5","Codex","T-008","Budget CRUD and periods generated"
"T-017","Planned/Recorded/Available calculations","backend-budget","S4","P0","done","4","Codex","T-016","Deterministic calc tests pass"
"T-018","Budget screen planned vs recorded","frontend-budget","S4","P0","done","4","Codex","T-017","Variance cards and tables rendered"
"T-019","Threshold alerts 80/100 rules","backend-notif","S4","P1","done","2","Codex","T-017","Alert rules triggered correctly"
"T-020","Reservation schema/API","backend-planning","S5","P0","done","5","Codex","T-016","Reserve/unreserve integrity enforced"
"T-021","ToBuy reserve UI flow","frontend-planning","S5","P0","done","4","Codex","T-020","User can reserve budget from item"
"T-022","Audit logging for reserve actions","backend-audit","S5","P1","done","2","Codex","T-020","Audit trail persisted"
"T-023","Project detail page sections/checklist","frontend-projects","S6","P0","done","5","Codex","T-009","Sections + checklist editable"
"T-024","Mark-recorded endpoint (ToBuy->Ledger)","backend-planning","S6","P0","done","5","Codex","T-020","Creates recorded entry + consumes reservation"
"T-025","Mark-recorded UI + project variance refresh","frontend-projects","S6","P0","done","4","Codex","T-024","UI reflects updated totals"
"T-026","Reports endpoints (cashflow/net-worth/variance)","backend-reports","S7","P0","done","5","Codex","T-017","All report payloads validated"
"T-027","Dashboard wiring to real APIs","frontend-dashboard","S7","P0","done","4","Codex","T-026","No random data left"
"T-028","Reminder worker jobs due/overdue","backend-notif","S7","P1","done","3","Codex","T-019","Jobs run and create reminder records"
"T-029","Export JSON + restore with schema version","backend-portability","S8","P0","done","5","Codex","T-008","Round-trip import/export passes"
"T-030","Final QA regression + perf baseline","qa-release","S8","P0","done","5","Codex","T-013","Core flows pass and KPI measured"
"T-031","Soft-delete restore endpoints + archived views","backend-core","S8","P1","done","3","Codex","T-030","Can restore logically deleted records and list archived items safely"
"T-032","Goals backend schema/API + frontend sync","fullstack-goals","S3","P1","done","4","Codex","T-003","Goals CRUD from UI persists in PostgreSQL with soft delete"
"T-033","Auto-link savings entries to goal saved/progress","fullstack-goals","S3","P1","done","3","Codex","T-032","Saving transactions linked to goal update saved amount and progress automatically"
